Screaming Circuits SMD component position file.
Created by Centroid_ScreamingCircuits_smd.ulp 1.2.0.

Centroid Data for pc board: "EEZ DIB PREL6 r1B4.brd" as of: 25.3.2021. 14:51
Measurements are in inches. Comma delimited
Only surface mount components included

RefDes,Layer,LocationX,LocationY,Rotation
C1,Top,4.615,0.890,0
C2,Top,4.600,0.818,180
C3,Top,5.317,1.163,270
C4,Top,4.150,0.750,0
C5,Top,4.548,0.603,0
C6,Top,4.560,0.527,180
C7,Top,3.652,0.420,0
C8,Top,3.422,0.815,180
C9,Top,3.397,0.662,270
C10,Top,3.632,0.682,90
D1,Top,2.500,3.075,90
D2,Top,3.900,3.075,90
D3,Top,5.310,3.075,90
D4,Top,2.500,2.000,270
D5,Top,3.900,2.000,270
D6,Top,5.310,2.000,270
DIB1.1,Top,2.397,0.620,0
FM1,Top,0.591,3.642,0
FM2,Top,5.630,0.118,0
FM3,Top,0.098,0.453,0
IC1,Top,4.848,0.635,0
IC2,Top,3.998,0.720,0
IC3,Top,3.875,0.492,180
IC4,Top,3.515,0.677,90
Q1,Top,2.305,3.495,0
Q2,Top,3.705,3.495,0
Q3,Top,5.105,3.495,0
Q4,Top,3.605,0.973,180
Q5,Top,4.720,2.237,180
Q6,Top,5.105,2.110,0
R1,Top,4.285,0.730,90
R2,Top,2.170,3.495,270
R3,Top,3.570,3.495,270
R4,Top,4.970,3.495,270
R5,Top,3.737,0.975,90
R6,Top,4.857,2.235,90
R7,Top,4.970,2.110,270
RN1,Top,5.060,0.405,180
RN2,Top,4.145,0.465,270
ZD1,Top,5.207,2.535,180
